pdbid,logKd-Ki,Delta_H0 (kJ/mol),Delta_H0 (kJ/mol)
3zzf,0.4,4.74,4.74
3gww,0.45,4.74,4.74
1w8l,0.49,4.74,4.74
3fqa,0.49,4.74,4.74
1zsb,0.6,4.74,4.74
4obv,0.75,4.74,4.74
3k41,0.82,4.74,4.74
4eu3,0.82,4.74,4.74
2w97,0.96,4.74,4.74
1p0y,1,4.74,4.74
2b1r,1,4.74,4.74
2d2v,1,4.74,4.74
2a31,1.01,4.74,4.74
1maw,1.1,4.74,4.74
3fl9,1.11,4.74,4.74
4fci,1.26,4.74,4.74
4fck,1.26,4.74,4.74
4clp,1.27,4.74,4.74
1f9g,1.28,4.74,4.74
1a0t,1.3,4.74,4.74
1b74,1.3,4.74,4.74
2fah,1.3,4.74,4.74
2igw,1.31,4.74,4.74
2vl1,1.35,4.74,4.74
3nm6,1.35,4.74,4.74
1qpb,1.36,4.74,4.74
1o4l,1.4,4.74,4.74
1o4m,1.4,4.74,4.74
1o4n,1.4,4.74,4.74
3eor,1.4,4.74,4.74
3eor,1.43,4.74,4.74
1utp,1.44,4.74,4.74
1tnk,1.49,4.74,4.74
4bh4,1.49,4.74,4.74
4lh3,1.52,4.74,4.74
5ct1,1.52,4.74,4.74
3mwe,1.54,4.74,4.74
4amw,1.55,4.74,4.74
1iig,1.57,4.74,4.74
3rup,1.57,4.74,4.74
2b1q,1.59,4.74,4.74
1w8m,1.6,4.74,4.74
3itc,1.6,4.74,4.74
2it4,1.62,4.74,4.74
1a7t,1.64,4.74,4.74
1hgj,1.66,4.74,4.74
1rdj,1.66,4.74,4.74
2o9r,1.68,4.74,4.74
4qsw,1.68,4.74,4.74
2sfp,1.7,4.74,4.74
3gf2,1.7,4.74,4.74
3oay,1.7,4.74,4.74
4tyb,1.7,4.74,4.74
3g6m,1.71,4.74,4.74
2hdr,1.72,4.74,4.74
3ern,1.72,4.74,4.74
3vzg,1.72,4.74,4.74
3zst,1.72,4.74,4.74
1u2y,1.74,4.74,4.74
4qsx,1.74,4.74,4.74
4bgx,1.77,4.74,4.74
3f39,1.78,4.74,4.74
2zgm,1.79,4.74,4.74
1ga8,1.8,4.74,4.74
3rxh,1.8,4.74,4.74
1af6,1.82,4.74,4.74
1bra,1.82,4.74,4.74
3eqb,1.82,4.74,4.74
4ahv,1.82,4.74,4.74
1fd7,1.85,4.74,4.74
3khv,1.85,4.74,4.74
1tnl,1.88,4.74,4.74
2ay2,1.88,4.74,4.74
1f2p,1.9,4.74,4.74
4mrh,1.9,4.74,4.74
1f2o,1.91,4.74,4.74
1efi,1.92,4.74,4.74
3ehn,1.92,4.74,4.74
4bh3,1.92,4.74,4.74
2rjr,1.94,4.74,4.74
4mrf,1.95,4.74,4.74
1tnj,1.96,4.74,4.74
2gga,1.96,4.74,4.74
1wdq,1.98,4.74,4.74
3i3d,1.99,4.74,4.74
1gbt,2,4.74,4.74
1ing,2,4.74,4.74
2bmv,2,4.74,4.74
2hds,2,4.74,4.74
3rv3,2,4.74,4.74
4awj,2,4.74,4.74
4ctk,2,4.74,4.74
4kz5,2,4.74,4.74
4u58,2,4.74,4.74
2ks9,2.04,4.74,4.74
4e4a,2.05,4.74,4.74
4ty9,2.05,4.74,4.74
4x8t,2.05,4.74,4.74
1qq9,2.06,4.74,4.74
1rdi,2.06,4.74,4.74
2zg3,2.06,4.74,4.74
4b0c,2.07,4.74,4.74
3rxp,2.08,4.74,4.74
1njj,2.1,4.74,4.74
4aml,2.1,4.74,4.74
3uf9,2.11,4.74,4.74
1qx1,2.12,4.74,4.74
1p2g,2.13,4.74,4.74
1uxb,2.15,4.74,4.74
