pdbid,logKd-Ki,Delta_H0 (kJ/mol),Delta_H0 (kJ/mol)
3zzf,0.4,-123.0096,-123.0096
3gww,0.45,-117.9888,-117.9888
1w8l,0.49,-90.3744,-90.3744
3fqa,0.49,-102.508,-102.508
1zsb,0.6,-107.5288,-107.5288
4obv,0.75,-89.956,-89.956
1wkm,0.82,-104.1816,-104.1816
3k41,0.82,-115.06,-115.06
4eu3,0.82,-66.944,-66.944
2w97,0.96,-97.4872,-97.4872
1p0y,1,-100.416,-100.416
2b1r,1,-75.312,-75.312
2d2v,1,-79.91,-79.91
2a31,1.01,-73.08,-73.08
1aw1,1.05,-66.36,-66.36
1maw,1.1,-57.12,-57.12
3fl9,1.11,-57.96,-57.96
4lh2,1.24,-54.6,-54.6
4to8,1.24,-50.82,-50.82
4fci,1.26,-49.14,-49.14
4fck,1.26,-139.02,-139.02
4clp,1.27,-128.1,-128.1
1f9g,1.28,-117.2,-117.2
1a0t,1.3,-106.68,-106.68
1b74,1.3,-47.04,-47.04
2fah,1.3,-56.28,-56.28
2igw,1.31,-61.74,-61.74
2vl1,1.35,-70.56,-70.56
3nm6,1.35,-83.16,-83.16
1qpb,1.36,-54.6,-54.6
1hty,1.4,-11.34,-11.34
1o4l,1.4,-18.48,-18.48
1o4m,1.4,-23.94,-23.94
1o4n,1.4,34.44,34.44
2hdq,1.4,2,1
3eor,1.4,-12.6,-12.6
3.00E+81,1.43,-23.94,-23.94
1ozv,1.44,-17.64,-17.64
1utp,1.44,-23.52,-23.52
1tnk,1.49,20.16,20.16
4bh4,1.49,-38.64,-38.64
4lh3,1.52,-42.84,-42.84
5ct1,1.52,-31.08,-31.08
3mwe,1.54,-34.02,-34.02
4amw,1.55,-90.72,-90.72
1iig,1.57,-81.06,-81.06
3rup,1.57,-56.28,-56.28
5cs5,1.58,-46.2,-46.2
2b1q,1.59,-37.8,-37.8
1w8m,1.6,-20.16,-20.16
3itc,1.6,-81.48,-81.48
2it4,1.62,-72.24,-72.24
1a7t,1.64,-49.14,-49.14
4d63,1.64,27.3,27.3
1hgj,1.66,0.588,0.588
1rdj,1.66,-2.94,-2.94
4qsw,1.68,-26.04,-26.04
2o9r,1.68,-71.4,-71.4
4tyb,1.7,-8.4,-8.4
2sfp,1.7,-51.8,-51.8
3gf2,1.7,-39.6,-39.6
3oay,1.7,-18.9,-18.9
3g6m,1.71,-18,-18
2hdr,1.72,22.572,22.572
3ern,1.72,36.784,36.784
3vzg,1.72,37.62,37.62
3zst,1.72,24.662,24.662
4qsx,1.74,29.26,29.26
1u2y,1.74,16.302,16.302
5ggj,1.75,11.704,11.704
4bgx,1.77,9.196,9.196
5ggl,1.78,24.662,24.662
3f39,1.78,18.392,18.392
2zgm,1.79,14.63,14.63
1ga8,1.8,-9.614,-9.614
3rxh,1.8,2.09,2.09
1bra,1.82,7.524,7.524
1af6,1.82,35.112,35.112
1d5r,1.82,26.752,26.752
1y1m,1.82,15.466,15.466
3eqb,1.82,14.63,14.63
4ahv,1.82,12.54,12.54
1rdn,1.84,12.958,12.958
1fd7,1.85,40.128,40.128
3khv,1.85,30.514,30.514
1tnl,1.88,13.376,13.376
2ay2,1.88,27.17,27.17
4x8s,1.89,20.064,20.064
1f2p,1.9,5.016,5.016
4mrh,1.9,43.472,43.472
1f2o,1.91,35.53,35.53
4bh3,1.92,15.466,15.466
1efi,1.92,21.318,21.318
3ehn,1.92,15.048,15.048
2rjr,1.94,-17.974,-17.974
4mrf,1.95,12.122,12.122
1tnj,1.96,13.794,13.794
2gga,1.96,-15.048,-15.048
1wdq,1.98,3.762,3.762
